,Var1,Freq
26,ABERDEEN ST,7
47,AGASSIZ RD,2
49,AGUADILLA ST,16
58,ALBAN ST,1
60,ALBANY ST,377
61,ALBEMARLE CT,1
62,ALBEMARLE ST,4
142,APPLETON ST,45
170,ARLINGTON AV,1
171,ARLINGTON ST,36
178,ARUNDEL ST,3
236,BABCOCK ST,1
239,BACK ST,2
255,BALL ST,4
295,BAY ST,1
297,BAY STATE RD,56
305,BEACON ST,408
349,BELVIDERE ST,61
360,BERKELEY ST,200
399,BLACKWOOD ST,13
400,BLAGDEN ST,4
406,BLANDFORD ST,1
429,BOND ST,5
469,BOYLSTON PL,5
471,BOYLSTON ST,2143
472,BOYNTON ST,3
475,BRADDOCK PARK,15
480,BRADFORD ST,8
499,BRANNON HARRIS WY,2
500,BRANNON-HARRIS WAY,1
546,BROOKLINE AV,213
547,BROOKLINE AVE,9
585,BURBANK ST,32
588,BURKE ST,2
608,BUSWELL ST,8
619,CABOT ST,1
621,CAHNERS PL,3
629,CAMBRIA ST,2
633,CAMDEN ST,44
644,CARLETON ST,2
673,CASTLE CT,8
687,CAZENOVE ST,2
727,CHANDLER ST,53
746,CHARLESGATE,31
814,CLAREMONT PARK,7
815,CLAREMONT ST,4
817,CLARENDON PARK,1
818,CLARENDON ST,159
832,CLEARWAY ST,15
884,COLUMBIA ST,2
887,COLUMBUS AV,354
888,COLUMBUS AVE,23
889,COLUMBUS SQ,3
896,COMMON ST,1
898,COMMONWEALTH AV,440
899,COMMONWEALTH AVE,25
902,COMO RD,1
904,CONCORD SQ,27
905,CONCORD ST,1
928,COPLEY PLACE,24
964,COVENTRY ST,16
1007,CUMBERLAND,1
1008,CUMBERLAND ST,23
1014,CUMSTON ST,3
1015,CUNARD ST,10
1042,DALTON ST,111
1059,DARTMOUTH PL,8
1060,DARTMOUTH ST,270
1061,DAVENPORT ST,2
1077,DEACON ST,1
1088,DEERFIELD ST,1
1135,DITMUS CT,27
1157,DOUGLAS PARK,4
1206,DURHAM ST,5
1212,DWIGHT ST,26
1224,E BERKELEY ST,71
1226,E BROOKLINE ST,66
1227,E CANTON ST,22
1228,E CONCORD ST,17
1230,E DEDHAM ST,3
1237,E LENOX ST,34
1238,E NEWTON ST,56
1244,E SPRINGFIELD ST,58
1264,EDGERLY PL,1
1265,EDGERLY RD,21
1326,EMERALD CT,5
1381,EXETER CT,2
1382,EXETER ST,80
1388,FAIRFIELD ST,26
1420,FATHER FRANCIS J GILDAY ST,1
1430,FAY ST,15
1437,FELLOWS ST,7
1438,FELLSWAY ST,1
1445,FENWAY,56
1482,FOLLEN ST,5
1495,FORSYTH ST,18
1496,FORSYTH WY,3
1538,FRONTAGE RD,1
1544,FULLERTON ST,1
1550,GAINSBOROUGH ST,77
1568,GARRISON ST,26
1599,GILDAY ST,5
1639,GLOUCESTER ST,36
1676,GRAY ST,11
1698,GREENWICH PARK,25
1699,GREENWICH ST,14
1765,HAMMOND ST,59
1766,HAMPDEN ST,2
1776,HANSON ST,8
1785,HARCOURT ST,13
1799,HARRIET ST,1
1800,HARRINGTON AV,10
1804,HARRISON ARCHWAYS,25
1805,HARRISON AV,890
1806,HARRISON AVE,64
1809,HARRISON ST,1
1843,HAVEN ST,1
1846,HAVILAND ST,14
1873,HEMENWAY ST,119
1884,HERALD ST,27
1886,HEREFORD ST,36
1948,HOLYOKE ST,11
