,Var1,Freq
10,3RD ST,2
12,4TH ST,3
14,5TH ST,3
16,6TH ST,2
17,7TH ST,1
18,8TH ST,10
22,A ST,52
32,ACADIA ST,1
78,ALGER ST,4
87,ALLSTATE RD,497
119,ANCHOR WY,1
124,ANDREW SQUARE,1
201,ATHENS ST,16
207,ATKINS ST,2
208,ATKINSON ST,4
211,ATLANTIC ST,3
235,B ST,57
246,BAKER CT,3
260,BALMORAL PARK,1
266,BANTRY WY,1
294,BAXTER ST,14
296,BAY STATE PL,3
301,BEACH POINT PL,16
302,BEACH ST,1
316,BECKLER AV,1
335,BELL CT,1
341,BELLFLOWER ST,10
355,BENT CT,6
380,BINFORD ST,1
393,BLACK FALCON AV,2
427,BOLTON ST,15
441,BOSTON ST,131
442,BOSTON WHARF RD,4
460,BOWEN ST,6
485,BRADSTON ST,18
528,BROADWAY,12
588,BURKE ST,24
612,BUTTONWOOD ST,10
617,C ST,17
652,CARMODY CT,10
661,CARPENTER ST,1
671,CASS BL,5
728,CHANNEL CENTER ST,17
729,CHANNEL ST,5
743,CHARLES ST,1
772,CHESTERTON ST,4
808,CITY POINT CT,1
811,CLAPP ST,5
867,COLEBROOK ST,1
877,COLONEL MICHAEL J. MCDONOUGH WAY,3
883,COLUMBIA RD,124
887,COLUMBUS AV,1
908,CONGRESS ST,69
911,CONLEY ST,1
950,COSTELLO CIR,1
951,COSTELLO CIRCLE,7
954,COTTAGE ST,3
960,COURTHOUSE WAY,3
961,COURTHOUSE WY,5
965,COVINGTON ST,6
1001,CROWLEY ROGERS WY,13
1002,CROWLEY-ROGERS WAY,1
1031,D ST,111
1038,DALESSIO CT,25
1045,DAMRELL ST,9
1074,DAY ST,1
1079,DEADY'S LN,1
1112,DESIGN CENTER PL,4
1119,DEVINE WY,12
1128,DEXTER ST,7
1138,DIXFIELD ST,5
1149,DORCHESTER AV,242
1150,DORCHESTER AVE,15
1152,DORCHESTER ST,191
1156,DORSET ST,6
1158,DOUGLAS ST,5
1164,DR. MICHAEL GAVIN WAY,7
1172,DRESSER ST,1
1180,DRY DOCK AV,15
1215,E 1ST ST,45
1216,E 2ND ST,66
1217,E 3RD ST,43
1218,E 4TH ST,77
1219,E 5TH ST,51
1220,E 6TH ST,42
1221,E 7TH ST,63
1222,E 8TH ST,115
1223,E 9TH ST,30
1225,E BROADWAY,170
1232,E EIGHTH ST,12
1233,E FIFTH ST,4
1234,E FIRST ST,1
1235,E FOURTH ST,3
1239,E NINTH ST,2
1240,E SECOND ST,10
1241,E SERVICE RD,1
1242,E SEVENTH ST,6
1243,E SIXTH ST,7
1245,E ST,62
1246,E THIRD ST,4
1281,EIGHTH ST,2
1296,ELKINS ST,3
1299,ELLERY ST,31
1328,EMERSON ST,17
1330,EMMET ST,2
1342,ENTERPRISE ST,5
1383,F ST,25
1407,FARGO ST,3
1410,FARNSWORTH ST,5
1412,FARRAGUT RD,18
