,Var1,Freq
24,ABBOTSFORD ST,1
25,ABBOTTSFORD ST,20
27,ACADEMY CT,4
29,ACADEMY RD,4
30,ACADEMY TER,2
31,ACADEMY TR,5
37,ADAMS ST,28
45,ADRIAN ST,1
53,AKRON PL,2
54,AKRON ST,20
57,ALASKA ST,32
60,ALBANY ST,46
63,ALBERT ST,4
66,ALBION ST,18
75,ALEXANDER ST,40
82,ALLEGHANY ST,32
86,ALLERTON ST,9
87,ALLSTATE RD,4
93,ALPINE ST,25
104,AMBROSE ST,2
128,ANITA TR,3
129,ANNABEL ST,1
133,ANNUNCIATION RD,149
168,ARION ST,7
196,ASPEN ST,1
220,AUTUMN ST,1
225,AVENUE LOUIS PASTEUR,14
244,BAKER AV,2
254,BALFOUR ST,15
268,BARD AV,1
284,BARTLETT ST,12
287,BATCHELDER ST,24
310,BEAUFORD LA,4
318,BEECH GLEN ST,11
329,BELDEN SQ,1
330,BELDEN ST,12
368,BETHUNE WAY,3
369,BETHUNE WY,10
374,BICKFORD ST,1
378,BILODEAU RD,1
381,BINNEY ST,9
386,BIRD ST,34
388,BISHOP JOE L SMITH WAY,4
389,BISHOP JOE L. SMITH WAY,24
394,BLACKFAN CR,4
413,BLUE HILL AV,904
414,BLUE HILL AVE,43
415,BLUE HILLS PARKY,1
424,BODWELL ST,7
461,BOWER ST,22
462,BOWER TR,1
525,BRINTON ST,9
533,BROMLEY ST,5
536,BROOK AV,31
537,BROOK AVE,3
539,BROOK MARSHALL RD,2
542,BROOKFIELD ST,2
543,BROOKFORD ST,34
544,BROOKLEDGE ST,64
546,BROOKLINE AV,68
547,BROOKLINE AVE,4
567,BRUNSWICK ST,44
575,BUCKNAM ST,9
586,BURGESS ST,1
593,BURNEY ST,5
596,BURRELL ST,43
601,BURTON AV,1
618,CABOT PL,2
619,CABOT ST,56
628,CALUMET ST,84
643,CARDINGTON ST,2
646,CARLISLE ST,4
649,CARMEL ST,5
671,CASS BL,7
676,CASTLEGATE RD,25
678,CATAWBA ST,15
686,CAWFIELD ST,18
690,CEDAR PARK,5
691,CEDAR ST,31
696,CEDRIC ST,7
716,CENTRE ST,89
717,CENTRE STREET TR,2
721,CEYLON ST,44
723,CHAMBLET ST,6
733,CHARLAME PL,4
734,CHARLAME ST,10
763,CHENEY ST,51
765,CHEROKEE ST,11
788,CHILDRENS RD,1
799,CIRCUIT DR,2
800,CIRCUIT SQ,3
801,CIRCUIT ST,31
816,CLARENCE ST,15
845,CLIFFORD ST,39
846,CLIFTON ST,20
854,COBDEN PARK,1
855,COBDEN ST,18
857,CODMAN PARK,35
872,COLEUS PARK,10
881,COLUMBIA PARK,2
883,COLUMBIA RD,553
884,COLUMBIA ST,2
887,COLUMBUS AV,87
888,COLUMBUS AVE,2
924,COPELAND PARK,3
925,COPELAND PL,1
926,COPELAND ST,29
927,COPENGER ST,5
940,CORNELIA CT,1
941,CORNELIA ST,5
942,CORNELIA WY,1
974,CRAWFORD ST,103
983,CRESTON PARK,2
984,CRESTON ST,18
986,CRESTWOOD PARK,10
988,CRISPUS ATTUCKS PL,16
1017,CUNNINGHAM ST,28
1021,CUSHING AV,2
1032,DABNEY PL,2
1033,DABNEY ST,6
1034,DACIA ST,45
1035,DADE ST,3
1037,DALE ST,57
1039,DALIN PL,2
1040,DALKEITH ST,7
1055,DANUBE ST,14
1057,DARLING ST,11
1058,DARLINGTON ST,1
1078,DEACONESS RD,5
1080,DEAN ST,7
1081,DEARBORN ST,16
1084,DECKARD ST,25
1091,DEGAUTIER WY,6
1097,DELL AV,3
1100,DELLE AV,22
1105,DENNIS ST,14
1106,DENNISON ST,9
1120,DEVON ST,94
1125,DEWEY ST,31
1126,DEWITT DR,26
1134,DIMOCK ST,43
1154,DORR ST,11
1159,DOVE ST,8
1169,DRAYTON AV,21
1175,DROMEY ST,1
1182,DUBOIS ST,10
1183,DUDLEY PL,11
1184,DUDLEY ST,789
1185,DUDLEY TER,1
1186,DUDLEY TR,1
1195,DUNFORD ST,1
1197,DUNKELD ST,10
1199,DUNMORE ST,12
1201,DUNREATH ST,10
1229,E COTTAGE ST,68
1254,EASTMAN ST,6
1268,EDGEWOOD ST,20
1283,ELBERT ST,2
1285,ELDER ST,21
1287,ELDORA ST,9
1303,ELLINGWOOD ST,2
1304,ELLIS ST,2
1308,ELM HILL,5
1309,ELM HILL AV,91
1310,ELM HILL AVE,2
1311,ELM HILL PARK,9
1318,ELMONT ST,1
1319,ELMORE ST,16
1320,ELMWOOD ST,7
1334,EMROSE TR,2
1351,ESMOND ST,2
1352,ESSEX ST,1
1353,ESTABROOK RD,4
1355,ESTEY ST,2
1364,EUSTIS ST,95
1371,EVANS WY,8
1389,FAIRLAND ST,19
1409,FARNHAM ST,8
1432,FAYSTON ST,82
1442,FENNO ST,10
1445,FENWAY,8
1446,FENWICK PL,4
1447,FENWOOD RD,26
1452,FERNBORO ST,20
1467,FISHER AV,41
1468,FISHER AVE,6
1483,FOLSOM AV,5
1484,FOLSOM ST,14
1492,FOREST PL,3
1493,FOREST ST,27
1497,FORT AV,9
1505,FOUNTAIN PL,1
1506,FOUNTAIN ST,1
