,Var1,Freq
23,ABBOT ST,38
55,ALABAMA ST,12
79,ALGONQUIN ST,18
89,ALMONT ST,54
105,AMERICAN LEGION HWY,2
106,AMERICAN LEGION HY,87
107,AMES ST,46
108,AMES WAY,3
109,AMES WY,10
127,ANGELL ST,13
134,ANSEL RD,1
135,ANSELL RD,8
144,ARBELLA RD,3
145,ARBORCREST TR,2
153,ARBUTUS ST,28
172,ARMANDINE ST,41
195,ASHTON ST,17
197,ASPINWALL RD,17
198,ASTICOU RD,1
199,ASTORIA ST,28
200,ATHELWOLD ST,23
238,BABSON ST,28
243,BAIRD ST,15
257,BALLOU AV,33
258,BALLOU AVE,1
261,BALSAM ST,10
263,BANFIELD AV,2
309,BEATTY CR,12
362,BERNARD ST,49
375,BICKNELL ST,26
413,BLUE HILL AV,1571
414,BLUE HILL AVE,73
420,BLUEFIELD TR,3
467,BOYDEN ST,6
479,BRADFORD RD,1
480,BRADFORD ST,1
483,BRADLEE ST,9
484,BRADSHAW ST,23
511,BRENTON ST,3
516,BRIARCLIFF TR,3
531,BROCKTON ST,8
554,BROOKVIEW ST,9
562,BROWNING AV,26
563,BROWNING AVE,2
620,CADDY RD,14
622,CALDER ST,13
626,CALLENDER ST,61
641,CAPEN ST,47
642,CAPITAL ST,1
647,CARLOS ST,1
651,CARMEN ST,10
668,CARYLL ST,4
679,CATBIRD COURT,8
680,CATBIRD CT,2
691,CEDAR ST,13
704,CENTRAL AV,1
722,CHAMBERLAIN ST,6
724,CHAMPLAIN CR,1
749,CHARLOTTE ST,26
790,CHIPMAN ST,5
810,CLANCY RD,3
819,CLARIDGE TR,8
820,CLARK ST,1
822,CLARKWOOD ST,21
831,CLEARWATER DR,3
856,CODMAN HILL AV,11
878,COLONIAL AV,14
879,COLONIAL AVE,1
880,COLORADO ST,14
883,COLUMBIA RD,31
920,COOKSON TR,2
930,CORBET ST,15
957,COUNTRYSIDE DR,2
962,COURTLAND RD,16
969,CRAGMERE TR,1
996,CROSSMAN ST,5
999,CROWELL ST,31
1006,CULBERT ST,2
1010,CUMMINGS ST,1
1012,CUMMINS HWY,10
1013,CUMMINS HY,138
1019,CURRIER ST,1
1052,DANIA ST,1
1058,DARLINGTON ST,12
1089,DEERING RD,42
1096,DELHI ST,19
1142,DON ST,4
1143,DONALD RD,16
1147,DONWOOD TR,1
1174,DRISCOLL DR,2
1176,DRUID ST,3
1178,DRUMMOND ST,14
1187,DUKE ST,10
1188,DUMAS ST,1
1189,DUNBAR AV,35
1190,DUNBAR AVE,3
1198,DUNLAP ST,18
1211,DUXBURY RD,2
1214,DYER ST,6
1266,EDGEWATER DR,9
1273,EDSON ST,33
1295,ELIZABETH ST,8
1302,ELLINGTON ST,81
1305,ELLISON AV,4
1306,ELLISON AVE,1
1316,ELMHURST ST,19
1318,ELMONT ST,6
1323,ELWYN RD,2
1347,ERIE ST,49
1351,ESMOND ST,85
1354,ESTELLA ST,6
1369,EVANS ST,57
1372,EVELYN ST,23
1384,FABYAN ST,13
1393,FAIRMOUNT AV,5
1395,FAIRMOUNT CT,1
1396,FAIRMOUNT ST,35
1398,FAIRVIEW ST,1
1399,FAIRWAY ST,3
1425,FAUNCE RD,9
1426,FAVRE ST,4
1439,FENDALE AV,3
1440,FENDALE AVE,1
1441,FENELON ST,1
1448,FERMOY HEIGHTS AVE,1
1449,FERMOY HTS AV,5
1454,FERNDALE ST,12
1457,FESSENDEN ST,37
1476,FLINT ST,4
1481,FLOYD ST,28
1503,FOTTLER RD,5
1508,FOWLER ST,45
1518,FRANKLIN HILL AV,43
1519,FRANKLIN HILL AVE,2
1527,FREELAND ST,5
1533,FREMONT ST,18
1534,FRENCH ST,1
1539,FRONTENAC ST,8
1543,FULLER ST,56
1552,GALLIVAN BL,25
1553,GALLIVAN BLVD,1
1576,GAYLORD ST,2
1602,GILMER ST,6
1603,GILMORE,1
1606,GLADESIDE AV,8
1607,GLADESIDE AVE,1
1610,GLEASON ST,8
1615,GLENARM ST,19
1626,GLENHILL RD,5
1628,GLENMORE ST,1
1635,GLENWAY ST,100
1646,GOODALE RD,16
1685,GREENDALE RD,22
1690,GREENOCK ST,13
1700,GREENWOOD AV,1
1705,GREENWOOD ST,61
1724,GROVELAND ST,9
1742,HALBORN ST,3
1755,HALLOWELL ST,9
1769,HANNON ST,10
1773,HANSBOROUGH ST,23
