,Var1,Freq
1791,HARLEM ST,25
1820,HARVARD AV,21
1822,HARVARD PARK,5
1825,Harvard St,5
1826,HARVARD ST,248
1830,HARVEST ST,1
1833,HARWOOD ST,13
1834,HASKELL ST,1
1842,HAVELOCK ST,25
1860,HAZELTON ST,33
1863,HAZLETON ST,3
1867,HEBRON ST,10
1871,HELEN ST,2
1879,HENRICI ST,1
1885,HERBERT ST,1
1890,HEWINS ST,10
1892,HIAWATHA RD,25
1912,HILDRETH ST,7
1918,HILLSBORO RD,3
1959,HOPESTILL ST,4
1962,HOPKINS ST,11
1968,HOSMER ST,31
2015,IDAHO ST,7
2032,IRMA ST,24
2041,ITASCA ST,37
2044,JACOB ST,25
2077,JOHNSON TR,6
2078,JOHNSTON RD,19
2081,JONES AV,8
2082,JONES AVE,1
2117,KENBERMA RD,16
2122,KENNEBEC ST,2
2134,KERWIN ST,14
2147,KINGBIRD RD,13
2149,KINGSDALE ST,60
2189,LANDOR RD,10
2207,LAURIAT ST,5
2222,LEAHAVEN RD,2
2226,LEDGEBROOK RD,5
2250,LESTON ST,19
2286,LINVALE TR,3
2292,LIVERMORE ST,16
2294,LIVINGSTONE ST,7
2326,LORNA RD,13
2327,LORNE ST,20
2344,LUCERNE ST,30
2347,LYFORD ST,11
2354,LYNNVILLE TER,1
2355,LYNNVILLE TR,1
2379,MALLARD AV,5
2386,MAMELON CR,11
2387,MANCHESTER ST,6
2412,MARDEN AV,14
2413,MARDEN AVE,2
2449,MARYKNOLL ST,8
2450,MARYKNOLL TR,1
2453,MASCOT ST,20
2466,MATTAPAN ST,21
2471,MAXWELL ST,30
2473,MAYBROOK ST,2
2491,MCLELLAN ST,42
2496,MEADOWBANK AV,11
2497,MEADOWBANK AVE,2
2524,MENTON ST,3
2532,MERLIN ST,5
2535,MERRILL ST,14
2538,MESSINGER ST,4
2547,MICHIGAN AV,30
2548,MICHIGAN AVE,2
2551,MIDDLETON ST,11
2554,MILDRED AV,27
2555,MILDRED AVE,2
2561,MILLET ST,46
2565,MILTON AV,56
2566,MILTON AVE,1
2567,MILTON ST,1
2592,MONSON ST,4
2601,MONTEREY AVE,1
2613,MOODY ST,6
2617,MORA ST,24
2629,MORTON ST,318
2630,MORTON VILLAGE DR,2
2647,MOUNTAIN AV,11
2648,MOUNTAIN AVE,1
2673,MULVEY ST,14
2729,NELSON ST,20
2737,NEVADA ST,3
2742,NEW ENGLAND AV,16
2761,NEWCROFT CR,2
2770,NIGHTINGALE ST,71
2783,NORFOLK AV,12
2785,NORFOLK ST,301
2786,NORFOLK TR,2
2793,NORTHAMPTON ST,1
2802,NORWELL ST,116
2810,NULL,3
2825,OAKHURST ST,5
2831,OAKRIDGE ST,7
2836,OAKWOOD ST,8
2848,OGDEN ST,9
2855,OLD MORTON ST,12
2856,OLD RD,14
2882,ORLANDO ST,43
2884,ORMOND ST,20
2895,OUTLOOK RD,21
2898,OWEN ST,2
2905,PACKARD AV,2
2906,PAGE ST,16
2928,PARK ST,19
2929,PARK ST PL,1
2942,PARKWAY ST,1
2959,PAULA RD,1
2961,PAXTON ST,14
2968,PEACEABLE ST,1
2969,PEACEVALE RD,42
3016,PINE RIDGE RD,1
3034,PLEASANT HILL AV,6
3035,PLEASANT HILL AVE,3
3036,PLEASANT HILL TR,1
3063,POWELLTON RD,6
3066,PRAIRIE ST,1
3139,RADCLIFFE RD,2
3140,RADCLIFFE ST,30
3181,REGIS RD,25
3189,REXFORD ST,7
3194,RHOADES ST,2
3197,RICH ST,5
3210,RIDGEVIEW AV,9
3212,RIDGEWOOD ST,1
3218,RIPLEY RD,14
3221,RIVER ST,288
3222,RIVER ST PL,1
3224,RIVER STREET PL,1
3262,ROCKWAY ST,5
3263,ROCKWELL ST,20
3285,ROSEDALE ST,22
3311,ROXTON ST,11
3400,SANFORD ST,12
3409,SAVANNAH AV,14
3427,SCHOOL ST,33
3450,SEAVER ST,15
3459,SELDEN ST,31
3465,SENATOR BOLLING CIR,1
3476,SHAFTER ST,6
3477,SHANDON RD,44
3528,SNOWDEN WAY,4
3546,SOUTHERN AV,29
3547,SOUTHERN AVE,4
3548,SOUTHMERE RD,5
3558,SPENCER ST,61
3590,ST GREGORY ST,4
3613,STANDARD ST,29
3614,STANDISH ST,22
3618,STANTON ST,36
3638,STOCKTON ST,19
3640,STONECREST RD,5
3651,STOW RD,2
3655,STRATTON ST,63
3658,STURBRIDGE ST,15
3693,SUTTON ST,21
3715,TALBOT AV,223
3716,TALBOT AVE,13
3717,TALBOT PL,2
3731,TEMPLE ST,6
3734,TENNIS RD,40
3743,TESLA ST,2
3747,THANE ST,18
3752,THEODORE ST,18
3753,THETFORD AV,28
3754,THETFORD AVE,6
3779,TIVERTON RD,5
3788,TORREY ST,24
3801,TREMLETT ST,3
3812,TRINITY TERRACE,6
3818,TUCKER ST,1
3864,VASSAR ST,16
3867,VERA ST,2
3870,VERNDALE ST,3
3873,VERRILL ST,10
3875,VESTA RD,12
3886,VIKING TR,1
3897,VIOLET ST,2
3927,W MAIN ST,5
3931,W PARK ST,6
3936,W SELDEN ST,55
3942,W TREMLETT ST,11
3944,WABASH ST,1
3962,WALES ST,57
3965,WALK HILL ST,86
3990,WARNER ST,13
4005,WASHINGTON ST,1
4009,WATERLOW ST,2
4038,WELLINGTON HILL,8
4039,WELLINGTON HILL ST,43
4040,WELLINGTON ST,2
4053,WENTWORTH ST,17
4054,WENTWORTH TR,9
4063,WESTCOTT ST,14
4083,WESTMORE RD,15
4087,WESTVIEW ST,51
4088,WESTVIEW WAY,1
4089,WESTVIEW WY,2
4101,WHEATLAND AV,26
4102,WHEATLAND AVE,5
4115,WHITFIELD ST,62
4118,WHITMAN ST,22
4126,WICHITA TR,3
4130,WILBERT CR,1
4131,WILBERT RD,6
4133,WILCOCK ST,27
4134,WILDER ST,1
4135,WILDWOOD ST,77
4157,WILLOWWOOD ST,19
4158,WILMINGTON AV,18
4159,WILMINGTON AVE,4
4160,WILMORE ST,22
4164,WILSON ST,1
4179,WINSTON RD,12
4189,WITHINGTON ST,8
4193,WOLCOTT ST,22
4196,WOOD AV,1
4199,WOODALE AV,3
4202,WOODBOLE AV,46
4203,WOODBOLE AVE,6
4210,WOODGATE ST,20
4212,WOODHAVEN ST,17
4219,WOODMERE ST,1
4221,WOODROW AV,103
4222,WOODROW AVE,7
4224,WOODRUFF WY,34
4238,WOOLSON ST,52
4263,YORK ST,6
