,Var1,Freq
41,ADDISON ST,7
52,AIRPORT RD,4
132,ANNAVOY ST,2
139,ANTRIM ST,3
191,ASHLEY ST,7
273,BARNES AV,12
274,BARNES AVE,1
300,BAYSWATER ST,19
353,BENNINGTON ST,437
354,BENSON ST,1
396,BLACKINTON ST,1
423,BOARDMAN ST,18
430,BORDER ST,421
498,BRANDYWYNE DR,38
506,BREED ST,11
507,BREMEN PL,1
508,BREMEN ST,88
540,BROOK ST,6
548,BROOKS ST,80
616,BYRON ST,17
706,CENTRAL SQ,46
707,CENTRAL ST,1
755,CHAUCER ST,12
761,CHELSEA ST,268
762,CHELSEA TR,1
850,CLIPPER SHIP LA,11
871,COLERIDGE ST,8
906,CONDOR ST,92
954,COTTAGE ST,51
967,COWPER ST,5
985,CRESTWAY RD,4
1020,CURTIS ST,6
1073,DAY SQ,1
1083,DECATUR ST,12
1166,DRAKE PL,1
1231,E EAGLE ST,22
1247,EAGLE SQ,7
1248,EAGLE ST,5
1331,EMMONS ST,4
1366,EUTAW ST,56
1377,EVERETT ST,48
1382,EXETER ST,1
1400,FALCON ST,85
1421,FATHER JACOBEE RD,15
1433,FAYWOOD AV,53
1434,FAYWOOD AVE,4
1487,FORD ST,6
1516,FRANKFORT ST,13
1584,GENEVA ST,1
1609,GLADSTONE ST,29
1621,GLENDON ST,5
1656,GOVE ST,51
1714,GRIECO TR,1
1722,GROVE ST,1
1796,HARMONY ST,1
1847,HAVRE ST,68
1857,HAYNES ST,9
1880,HENRY ST,3
1949,HOMER ST,8
1963,HORACE ST,21
2045,JACOBBE RD,7
2055,JEFFERS ST,1
2056,JEFFRIES ST,8
2184,LAMSON CT,1
2185,LAMSON ST,15
2188,LANDING ST,7
2253,LEWIS MALL,14
2255,LEWIS ST,1
2260,LEXINGTON ST,117
2261,LEYDEN ST,27
2267,LILLIAN ST,1
2293,LIVERPOOL ST,30
2307,LONDON CT,1
2308,LONDON ST,52
2343,LUBEC ST,13
2416,MARGIN ST,2
2417,MARGINAL RD,2
2418,MARGINAL ST,24
2424,MARION PL,6
2425,MARION ST,101
2468,MAVERICK SQ,112
2469,MAVERICK ST,117
2481,MCCLELLAN HY,50
2482,MCCORMACK SQ,1
2488,MCKAY PL,1
2491,MCLELLAN ST,1
2531,MERIDIAN ST,321
2583,MONMOUTH SQ,1
2584,MONMOUTH ST,23
2585,MONPONSET ST,1
2586,MONSIGNOR ALBERT A. JACOBBE RD,1
2604,MONTMORENCI AV,3
2605,MONTMORENCI AVE,1
2616,MOORE ST,14
2617,MORA ST,1
2624,MORRIS ST,25
2628,MORTON PL,3
2678,MURRAY CT,1
2710,NANCIA ST,1
2721,NAY ST,7
2735,NEPTUNE RD,27
2750,NEW ST,7
2878,ORIENT AV,15
2883,ORLEANS ST,44
2911,PALERMO ST,1
2917,PARIS PL,1
2918,PARIS ST,207
2919,PARISH ST,1
3055,PORTER ST,52
3070,PRESCOTT PL,1
3071,PRESCOTT ST,36
3079,PRINCE ST,1
3080,PRINCETON ST,108
3128,PUTNAM ST,58
3341,S BREMEN ST,18
3366,SAINT ANDREW RD,1
3403,SARANAC ST,1
3404,SARATOGA PL,2
3405,SARATOGA ST,281
3440,SEA VIEW AV,1
3450,SEAVER ST,1
3486,SHAWSHEEN RD,1
3489,SHELBY ST,9
3578,ST ANDREW RD,11
3587,ST EDWARD RD,2
3668,SUMMER ST,9
3674,SUMNER AV,1
3678,SUMNER ST,136
3679,SUMNER TR,1
3698,SWIFT ST,3
3700,SWIFT TR,1
3768,THURSTON ST,5
3805,TREMONT ST,1
3807,TRENTON ST,86
3809,TRIDENT ST,2
3817,TRUSTMAN TR,3
3855,VALLAR RD,36
3900,VISCONTI RD,5
3921,W EAGLE ST,28
3957,WALDEMAR AV,34
3958,WALDEMAR AVE,6
3959,WALDEN ST,1
3970,WALLEY ST,3
4025,WEBSTER ST,47
4061,WESTBROOK ST,1
4108,WHITBY ST,2
4113,WHITE ST,77
4114,WHITE ST PL,2
4141,WILLIAM F MCCLELLAN HWY,1
4147,WILLIAMS SQ,1
4185,WINTHROP ST,1
4241,WORDSWORTH ST,38
