,Var1,Freq
33,ACKLEY PL,4
42,ADELAIDE ST,9
46,AGASSIZ PARK,1
74,ALDWORTH ST,10
77,ALFRED ST,2
81,ALLANDALE ST,24
99,ALVESTON ST,2
100,ALVESTON TR,1
106,AMERICAN LEGION HY,4
112,AMORY AV,8
114,AMORY ST,152
115,AMORY TR,1
136,ANSON ST,6
149,ARBORVIEW RD,2
150,ARBORWAY,59
151,ARBORWAY CT,1
155,ARCADIA ST,2
160,ARCOLA ST,7
174,ARMORY ST,1
175,ARMSTRONG ST,17
183,ASHCROFT ST,3
191,ASHLEY ST,9
198,ASTICOU RD,7
203,ATHERTON AV,1
204,ATHERTON PL,3
205,ATHERTON ST,21
213,ATWOOD SQ,1
231,AVON ST,1
256,BALLARD ST,3
262,BANCROFT ST,7
267,BARBARA ST,2
269,BARDWELL ST,1
271,BARLOW ST,1
283,BARTLETT SQ,2
311,BEAUFORT RD,6
321,BEECHER ST,9
327,BEETHOVEN ST,14
345,BELMORE TR,1
373,BICKFORD AV,3
374,BICKFORD ST,56
379,BILTMORE ST,2
390,BISHOP ST,4
391,BISMARCK ST,2
426,BOLSTER ST,1
448,BOURNE ST,6
449,BOURNEDALE RD,2
469,BOYLSTON PL,7
471,BOYLSTON ST,97
472,BOYNTON ST,18
491,BRAGDON ST,40
502,BRAY ST,3
513,BREWER ST,2
533,BROMLEY ST,7
545,BROOKLEY RD,19
550,BROOKSIDE AV,21
559,BROWN AV,1
561,BROWN TR,1
573,BUCKLEY AV,2
574,BUCKLEY AVE,1
592,BURNETT ST,7
594,BURR ST,5
598,BURROUGHS ST,10
607,BUSSEY ST,11
613,BYNNER ST,26
625,CALL ST,1
640,CANTERBURY ST,2
645,CARLFORD RD,1
658,CAROLINA AV,7
677,CASTLETON ST,10
681,CATENACCIA WY,1
682,CATHERINE ST,12
695,CEDARWOOD RD,3
707,CENTRAL ST,1
710,CENTRE AV,2
716,CENTRE ST,748
717,CENTRE STREET TR,13
720,CERINA RD,4
768,CHESBROUGH RD,1
769,CHESHIRE ST,1
773,CHESTNUT AV,68
774,CHESTNUT AVE,3
778,CHESTNUT PL,1
780,CHESTNUT SQ,5
781,CHESTNUT ST,4
782,CHESTNUT TR,1
785,CHILCOTT PL,4
786,CHILD ST,20
833,CLEAVES ST,11
864,COLBURN ST,1
884,COLUMBIA ST,1
887,COLUMBUS AV,262
888,COLUMBUS AVE,11
929,COPLEY ST,3
945,CORNWALL ST,8
968,CRAFT PL,1
973,CRANSTON ST,6
977,CREIGHTON ST,32
1024,CUSTER ST,5
1041,DALRYMPLE ST,12
1050,DANE ST,3
1051,DANFORTH ST,5
1063,DAVID RD,1
1074,DAY ST,25
1134,DIMOCK ST,1
1140,DIXWELL ST,13
1171,DRESDEN ST,1
1173,DRIFTWOOD RD,4
1196,DUNGARVEN RD,1
1200,DUNNING WY,1
1203,DUNSTER RD,15
1260,EDGE HILL ST,7
1279,EGLESTON ST,12
1288,ELDRIDGE RD,4
1293,ELIOT PL,1
1294,ELIOT ST,14
1308,ELM HILL,1
1313,ELM ST,10
1336,ENFIELD ST,1
1341,ENNIS RD,1
1350,ERNST ST,11
1354,ESTELLA ST,1
1357,ESTRELLA ST,8
1377,EVERETT ST,5
1378,EVERGREEN ST,12
1486,FORBES ST,39
1489,FOREST HILLS AV,1
1491,FOREST HILLS ST,88
1493,FOREST ST,1
1548,FURNIVAL RD,2
1570,GARTLAND ST,6
1574,GAY HEAD ST,17
1595,GERMANIA ST,9
1605,GLADE AV,1
1613,GLEN RD,24
1614,GLEN ST,1
1630,GLENSIDE AV,4
1631,GLENVALE TR,2
1645,GOLDSMITH ST,6
1648,GOODRICH RD,5
1649,GORDON AV,1
1652,GORDON ST,1
1663,GRANADA PARK,2
1680,GREEN HILL ST,1
1681,GREEN ST,101
1691,GREENOUGH AV,7
1694,GREENVIEW AV,1
1720,GROTTO GLEN RD,2
1725,GROVENOR RD,5
1741,HAGAR ST,1
1747,HALIFAX ST,10
1749,HALL ST,12
1754,HALLIDAY ST,4
1767,HAMPSTEAD RD,4
1801,HARRIS AV,3
1838,HATHAWAY ST,3
1844,HAVERFORD ST,6
1865,HEATH ST,121
1915,HILLCROFT RD,2
1929,HOFFMAN ST,3
1932,HOLBROOK AV,1
1933,HOLBROOK ST,11
1953,HOMESTEAD ST,1
1961,HOPKINS RD,1
1966,HORAN WAY,3
1967,HORAN WY,8
1983,HUBBARD ST,3
2001,HUNTINGTON AV,5
2012,HYDE PARK AV,125
