,Var1,Freq
60,ALBANY ST,1
122,ANDERSON PL,2
123,ANDERSON ST,33
138,ANTHONY RIP VALENTI WAY,4
157,ARCH ST,51
170,ARLINGTON AV,2
171,ARLINGTON ST,44
181,ASH ST,1
182,ASHBURTON PL,5
209,ATLANTIC AV,252
210,ATLANTIC AVE,20
224,AVENUE DE LAFAYETTE,79
225,AVENUE LOUIS PASTEUR,1
227,AVERY PL,3
228,AVERY ST,57
249,BAKERS AL,1
282,BARTLETT PL,2
291,BATTERY ST,4
292,BATTERY WF,8
293,BATTERYMARCH ST,21
295,BAY ST,1
301,BEACH POINT PL,3
302,BEACH ST,190
305,BEACON ST,192
306,BEALE ST,1
313,BEAVER PL,2
314,BEAVER ST,3
317,BEDFORD ST,10
319,BEECH ST,4
334,BELGRAVIA PL,1
342,BELLINGHAM PL,1
350,BENNET ST,2
360,BERKELEY ST,5
370,BEVERLY ST,14
397,BLACKSTONE ST,30
411,BLOSSOM CT,1
412,BLOSSOM ST,42
440,BOSTON PL,6
444,BOSWORTH ST,8
458,BOWDOIN SQ,10
459,BOWDOIN ST,47
464,BOWKER ST,22
469,BOYLSTON PL,41
471,BOYLSTON ST,825
496,BRANCH ST,5
523,BRIMMER ST,23
526,BROAD ST,100
528,BROADWAY,2
532,BROMFIELD ST,48
577,BULFINCH PL,14
609,BUTLER SQ,1
616,BYRON ST,4
630,CAMBRIDGE ST,216
631,CAMBRIDGE STREET AV,1
638,CANAL ST,129
685,CAUSEWAY ST,202
689,CEDAR LANE WY,1
700,CENTER PLZ,6
701,CENTER PZ,38
707,CENTRAL ST,8
708,CENTRAL WF,16
709,CENTRAL WHARF,2
715,CENTRE PZ,4
725,CHAMPNEY PL,1
736,CHARLES,2
737,CHARLES PARK RD,3
742,CHARLES RIVER SQ,1
743,CHARLES ST,310
744,CHARLES ST S,56
751,CHARTER ST,31
753,CHATHAM ROW,9
754,CHATHAM ST,39
756,CHAUNCY ST,74
781,CHESTNUT ST,59
798,CHURCH ST,15
804,CITY HALL AV,4
805,CITY HALL PLZ,1
806,CITY HALL PZ,64
807,CITY HALL SQ,6
820,CLARK ST,9
840,CLEVELAND PL,1
846,CLIFTON ST,1
849,CLINTON ST,43
887,COLUMBUS AV,23
888,COLUMBUS AVE,1
894,COMMERCIAL ST,147
895,COMMERCIAL WF,11
908,CONGRESS ST,154
923,COOPER ST,22
948,CORTES ST,26
958,COURT SQ,6
959,COURT ST,116
975,CREEK SQ,1
993,CROSS RD,3
994,CROSS ST,33
1025,CUSTOM HOUSE ST,2
1062,DAVID G MUGAR WAY,7
1111,DERNE ST,5
1121,DEVONSHIRE PL,5
1122,DEVONSHIRE PLACE,4
1123,DEVONSHIRE ST,33
1149,DORCHESTER AV,5
1236,E INDIA ROW,27
1249,EAST ST,7
1269,EDINBORO ST,39
1327,EMERSON PL,11
1335,ENDICOTT ST,49
1352,ESSEX ST,126
